"","State","CoC","Total.Population","Total.Homeless","Homeless.Rate","Homeless.Over.24","Homeless.Under.24","Homeless.Female","Homeless.Male","Homeless.Trans","Homeless.NC","Homeless.Non.Lat","Homeless.Lat","Homeless.White","Homeless.Black","Homeless.Asian","Homeless.Indian","Homeless.Native","Region","0","Rate.Over.24","Rate.Under.24","Female.Rate","Male.Rate","Trans.Rate","NC.Rate","Non.Lat.Rate","Lat.Rate","White.Rate","Black.Rate","Asian.Rate","Indian.Rate","Native.Rate"
"37","NV",3,3104614,6900,22,5968,932,2050,4839,11,0,5856,1044,4394,1884,128,147,121,"W",0,19,3,7,16,0,0,19,3,14,6,0,0,0
"38","NY",24,20201249,91271,45,55104,36167,41881,48905,442,43,60412,30859,21777,62198,937,500,1248,"NE",0,27,18,21,24,0,0,30,15,11,31,0,0,1
"39","OH",9,11799488,10655,9,7814,2841,4210,6400,43,2,10168,487,5350,4662,54,78,22,"MW",0,7,2,4,5,0,0,9,0,5,4,0,0,0
"40","OK",8,3959353,3932,10,3137,795,1402,2500,24,6,3642,290,2451,815,13,411,9,"S",0,8,2,4,6,0,0,9,1,6,2,0,1,0
"41","OR",8,4237256,14655,35,11681,2974,5443,9072,72,68,13271,1384,11916,839,112,711,167,"W",0,28,7,13,21,0,0,31,3,28,2,0,2,0
"42","PA",16,13002700,13375,10,9327,4048,5388,7910,60,17,11632,1743,5854,6793,65,62,56,"NE",0,7,3,4,6,0,0,9,1,5,5,0,0,0
"43","PR",2,3285874,2451,7,2262,189,517,1924,10,0,56,2395,1039,465,3,16,6,NA,0,7,1,2,6,0,0,0,7,3,1,0,0,0
"44","RI",1,1097379,1104,10,818,286,431,667,5,1,857,247,656,322,6,24,6,"NE",0,7,3,4,6,0,0,8,2,6,3,0,0,0
"45","SC",4,5118425,4287,8,3513,774,1579,2699,5,4,4172,115,1887,2160,12,55,6,"S",0,7,2,3,5,0,0,8,0,4,4,0,0,0
"46","SD",1,886667,1058,12,760,298,448,607,3,0,977,81,265,65,2,699,0,"MW",0,9,3,5,7,0,0,11,1,3,1,0,8,0
"47","TN",10,6910840,7256,10,5861,1395,2602,4637,14,3,7068,188,4091,2849,29,66,30,"S",0,8,2,4,7,0,0,10,0,6,4,0,0,0
"48","TX",11,29145505,27229,9,21518,5711,10080,17067,61,21,19684,7545,15778,10001,206,346,89,"S",0,7,2,3,6,0,0,7,3,5,3,0,0,0
"49","UT",3,3271616,3131,10,2257,874,1250,1863,14,4,2362,769,2367,332,36,162,58,"W",0,7,3,4,6,0,0,7,2,7,1,0,0,0
"50","VA",16,8631393,5957,7,4331,1626,2395,3547,12,3,5465,492,2233,3169,98,62,16,"S",0,5,2,3,4,0,0,6,1,3,4,0,0,0
"51","VI",1,105870,304,29,298,6,98,201,0,5,260,44,33,232,0,6,0,NA,0,28,1,9,19,0,0,25,4,3,22,0,1,0
"52","VT",2,643077,1110,17,767,343,498,600,8,4,1069,41,983,62,9,6,4,"NE",0,12,5,8,9,0,0,17,1,15,1,0,0,0
"53","WA",6,7705281,22923,30,16895,6028,9426,13094,175,228,19863,3060,13904,3953,332,2544,653,"W",0,22,8,12,17,0,0,26,4,18,5,0,3,1
"54","WI",4,5893718,4515,8,3026,1489,1887,2615,13,0,4115,400,2426,1572,46,201,15,"MW",0,5,3,3,4,0,0,7,1,4,3,0,0,0
"55","WV",4,1793716,1341,7,1104,237,522,818,1,0,1311,30,1097,181,3,11,3,"S",0,6,1,3,5,0,0,7,0,6,1,0,0,0
"56","WY",1,576851,612,11,377,235,268,344,0,0,536,76,510,38,0,39,3,"W",0,7,4,5,6,0,0,9,1,9,1,0,1,0
